commits,authors
248,Dave Borowitz
236,David Pursehouse
180,Edwin Kempin
161,Monty Taylor
137,James E. Blair
133,Andreas Jaeger
93,Paul Belanger
76,Clark Boylan
65,K Jonathan Harker
63,David Shrewsbury
