medianpatchsets,labels,meanpatchsets
nan,14-Q1,nan
nan,14-Q2,nan
nan,14-Q3,nan
1.0,14-Q4,2.72
2.0,15-Q1,2.73
2.0,15-Q2,3.89
2.0,15-Q3,4.0
2.0,15-Q4,3.39
