company_commits,name
127,Mirantis
47,Cloudscaling
26,Intel
16,Red Hat
12,99cloud
10,HP
7,MapR Technologies
5,EMC
3,Fujitsu
3,IBM
3,NEC
3,OpenStack Foundation
2,EasyStack
1,Cloudwatt
1,Federal University of Campina Grande
1,LSD
1,Nimag Networks
1,Reliance Jio Infocomm, Ltd.
1,SAP
