commits,labels,submitted
1001,14-Q1,1741
928,14-Q2,1280
1132,14-Q3,1612
964,14-Q4,1400
1031,15-Q1,1559
688,15-Q2,1206
571,15-Q3,1207
516,15-Q4,1108
