company_commits,name
28,NEC
25,IBM
20,Catalyst
20,Tencent
6,Red Hat
5,99cloud
3,OpenStack Foundation
2,HP
2,Huawei
1,CIeNET Technologies
1,EasyStack
1,Individual
1,Intel
1,Polycom
1,Thales
