medianpatchsets,labels,meanpatchsets
nan,14-Q1,nan
nan,14-Q2,nan
nan,14-Q3,nan
nan,14-Q4,nan
1.0,15-Q1,1.95
1.0,15-Q2,2.09
1.0,15-Q3,2.09
1.0,15-Q4,2.0
