meantime,labels,mediantime
10.47,14-Q1,4.67
18.09,14-Q2,7.86
20.08,14-Q3,9.12
16.02,14-Q4,4.87
13.56,15-Q1,4.53
13.04,15-Q2,5.66
12.73,15-Q3,5.06
17.28,15-Q4,4.62
