medianpatchsets,labels,meanpatchsets
3.0,14-Q1,4.43
3.0,14-Q2,5.93
3.0,14-Q3,6.4
3.0,14-Q4,4.79
3.0,15-Q1,4.76
2.0,15-Q2,4.41
3.0,15-Q3,4.12
2.0,15-Q4,3.93
