bmi,labels,abandoned,merged
0.93,14-Q1,28,394
0.91,14-Q2,37,250
0.71,14-Q3,20,209
0.71,14-Q4,31,186
0.9,15-Q1,41,371
0.83,15-Q2,133,630
0.87,15-Q3,238,610
0.9,15-Q4,154,657
