bmi,labels,abandoned,merged
0.85,14-Q1,2823,10635
0.78,14-Q2,1808,8425
0.78,14-Q3,1863,9624
0.75,14-Q4,1473,7495
0.81,15-Q1,1936,11332
0.79,15-Q2,2057,11855
0.8,15-Q3,2574,13654
0.78,15-Q4,2253,13413
