bmi,labels,abandoned,merged
0.75,14-Q1,193,392
0.72,14-Q2,98,484
0.64,14-Q3,166,511
0.68,14-Q4,120,497
0.81,15-Q1,252,1283
0.79,15-Q2,257,1289
0.83,15-Q3,354,1855
0.82,15-Q4,373,1929
