meantime,labels,mediantime
2.93,14-Q1,0.22
4.69,14-Q2,0.58
6.5,14-Q3,0.88
6.55,14-Q4,0.79
7.81,15-Q1,0.77
7.2,15-Q2,0.65
9.26,15-Q3,0.77
10.47,15-Q4,0.74
