bmi,labels,abandoned,merged
0.89,14-Q1,96,495
0.89,14-Q2,95,776
0.88,14-Q3,100,808
0.83,14-Q4,113,834
0.82,15-Q1,142,908
0.85,15-Q2,170,1151
0.89,15-Q3,257,1398
0.87,15-Q4,235,1479
