bmi,labels,abandoned,merged
0.88,14-Q1,9,74
0.76,14-Q2,12,80
0.92,14-Q3,19,120
0.84,14-Q4,8,83
0.89,15-Q1,22,226
0.89,15-Q2,8,145
0.82,15-Q3,18,165
0.66,15-Q4,10,78
