total,name
7285,liferay-portal.git
2957,liferay-plugins.git
827,liferay-docs.git
786,liferay-faces.git
687,liferay-screens.git
673,liferay-apps-content-targeting.git
583,alloy-ui.git
188,alloy-editor
165,liferay-ide.git
73,liferay-mobile-sdk.git
28,liferay-maven-support.git
23,alloy-taglibs.git
