bmi,labels,abandoned,merged
0.98,14-Q1,81,1027
0.97,14-Q2,67,860
0.95,14-Q3,72,1071
0.92,14-Q4,60,557
0.92,15-Q1,84,795
0.95,15-Q2,106,1018
0.93,15-Q3,116,1179
0.94,15-Q4,149,1487
