medianpatchsets,labels,meanpatchsets
2.0,14-Q1,2.82
2.0,14-Q2,2.67
2.0,14-Q3,2.75
2.0,14-Q4,3.0
2.0,15-Q1,2.85
1.0,15-Q2,2.81
2.0,15-Q3,3.44
1.0,15-Q4,2.99
