company_commits,name
68,HP
27,OpenStack Foundation
19,Akanda, Inc.
5,NEC
4,Clemson University
4,DreamHost
4,EasyStack
3,Internap
1,99cloud
1,Aptira
1,Nicira
1,Tencent
