meantime,labels,mediantime
11.2,14-Q1,3.72
14.34,14-Q2,5.22
16.43,14-Q3,5.2
21.52,14-Q4,4.78
12.31,15-Q1,2.54
16.34,15-Q2,3.67
16.16,15-Q3,3.51
21.02,15-Q4,4.14
