medianpatchsets,labels,meanpatchsets
2.0,14-Q1,3.1
1.0,14-Q2,2.47
2.0,14-Q3,3.11
2.0,14-Q4,3.23
2.0,15-Q1,4.5
2.0,15-Q2,4.54
2.0,15-Q3,4.02
2.0,15-Q4,3.45
